Iteration Key Index Time_ns
~~ For list with 5000 elements ~~
0 1434 856 0
1 5374 -1 0
2 7691 -1 0
3 1064 653 0
4 2608 -1 0
5 9130 -1 0
6 6651 3438 0
7 3566 -1 0
8 8111 4122 0
9 2285 1393 0
~~ For list with 10000 elements ~~
0 3908 -1 0
1 11889 -1 0
2 12555 7690 0
3 8681 -1 0
4 9855 6036 0
5 155 -1 0
6 16733 -1 0
7 11972 -1 0
8 410 -1 0
9 18405 -1 0
~~ For list with 15000 elements ~~
0 26186 13343 0
1 1511 1425 0
2 1351 1287 0
3 28415 -1 0
4 64 -1 0
5 26091 13305 0
6 14656 7972 0
7 99 -1 0
8 6472 4237 0
9 11934 -1 0
~~ For list with 20000 elements ~~
0 31785 -1 0
1 23273 -1 0
2 29589 18051 0
3 26428 16159 0
4 32244 -1 0
5 9391 5659 0
6 28680 -1 0
7 3794 -1 0
8 12710 -1 0
9 1667 -1 0
~~ For list with 25000 elements ~~
0 21686 16577 0
1 14232 10862 0
2 20736 15821 0
3 271 221 0
4 29886 22831 0
5 25612 19552 0
6 30019 -1 0
7 10664 8093 0
8 1039 826 0
9 16133 -1 0
~~ For list with 30000 elements ~~
0 8438 7680 0
1 24275 22189 0
2 30809 28207 0
3 28897 26483 0
4 15533 -1 0
5 27408 25105 0
6 21704 19873 0
7 31339 28710 0
8 23760 -1 0
9 2213 -1 0
~~ For list with 35000 elements ~~
0 31505 33590 0
1 5724 -1 0
2 15286 -1 0
3 13931 14791 0
4 21679 23013 0
5 8871 9350 0
6 678 715 0
7 30822 -1 0
8 15260 16237 0
9 4997 5286 0
~~ For list with 40000 elements ~~
0 28979 35315 0
1 15663 19250 0
2 29071 -1 0
3 17382 21249 0
4 5423 -1 0
5 17496 21389 0
6 6654 8126 0
7 19228 23509 0
8 20292 24781 0
9 13112 -1 0
~~ For list with 45000 elements ~~
0 29414 40370 0
1 19457 26757 0
2 6618 -1 0
3 6974 9764 0
4 13045 -1 0
5 16924 -1 0
6 21494 29534 0
7 23015 -1 0
8 26945 37002 0
9 7327 10238 0
~~ For list with 50000 elements ~~
0 25354 38685 0
1 10570 16242 0
2 17370 26623 0
3 30379 46412 0
4 14184 21749 0
5 1941 3003 0
6 17938 27486 0
7 2814 -1 0
8 21186 32378 0
9 12491 19189 0
