Iteration Key Index Time_taken(seconds)
~~ For list with 5000 elements ~~
0 7018 3146 0
1 5808 -1 0
2 1340 3721 0
3 1155 4579 0
4 381 468 0
5 5518 -1 0
6 1998 -1 0
7 3508 482 0
8 9423 86 0
9 4521 -1 0
10 4385 1234 0
11 4662 -1 0
12 3052 1960 0
13 9032 -1 0
14 5883 -1 0
15 6467 -1 0
16 4564 2489 0
17 9459 4398 0
18 9541 -1 0
19 2097 -1 0
20 3862 -1 0
21 2678 -1 0
22 5982 -1 0
23 5890 -1 0
24 2478 2517 0
25 1761 -1 0
26 6432 3787 0
27 6264 -1 0
28 9537 2576 0
29 2564 2962 0
30 3860 2956 0
31 189 3090 0
32 2454 4830 0
33 6586 -1 0
34 1858 1782 0
35 2994 4010 0
36 8200 4413 0
37 7027 -1 0
38 2108 628 0
39 1558 2556 0
40 1225 3436 0
41 8263 -1 0
42 1291 -1 0
43 1274 3166 0
44 2825 4363 0
45 551 -1 0
46 8121 -1 0
47 6962 -1 0
48 9544 -1 0
49 7446 -1 0
50 465 719 0
51 2782 -1 0
52 2184 -1 0
53 7096 109 0
54 5812 -1 0
55 2826 -1 0
56 4102 -1 0
57 7225 -1 0
58 2302 -1 0
59 8515 331 0
60 3114 -1 0
61 2209 -1 0
62 9272 162 0
63 827 -1 0
64 4620 2701 0
65 4631 -1 0
66 2223 -1 0
67 9279 -1 0
68 2426 1569 0
69 5620 571 0
70 4372 -1 0
71 7559 -1 0
72 6104 4128 0
73 1546 892 0
74 8805 2765 0
75 7741 3979 0
76 5671 4764 0
77 4933 3227 0
78 9997 763 0
79 658 1393 0
80 3049 2392 0
81 1632 -1 0
82 6840 -1 0
83 1581 -1 0
84 4468 -1 0
85 1946 4225 0
86 153 2140 0
87 6661 -1 0
88 5429 596 0
89 7290 -1 0
90 3855 -1 0
91 9266 2649 0
92 2391 -1 0
93 7313 -1 0
94 2773 -1 0
95 8719 386 0
96 2787 -1 0
97 9696 1048 0
98 4137 1576 0
99 1394 -1 0
~~ For list with 10000 elements ~~
0 18232 -1 0
1 17952 1719 0
2 10992 -1 0
3 15318 3637 0
4 4399 -1 0
5 10167 -1 0
6 5880 -1 0
7 7604 -1 0
8 17396 3720 0
9 10573 7324 0
10 6379 -1 0
11 17411 -1 0
12 3027 6364 0
13 12715 -1 0
14 15353 4162 0
15 3714 -1 0
16 1438 -1 0
17 3024 -1 0
18 4663 -1 0
19 9215 -1 0
20 15870 -1 0
21 17968 -1 0
22 3512 -1 0.001427
23 11511 6290 0
24 11719 -1 0
25 8253 7078 0
26 14233 -1 0
27 14943 -1 0
28 5552 -1 0
29 4133 4393 0
30 9371 -1 0
31 8771 6229 0
32 5729 -1 0
33 9372 3505 0
34 6231 -1 0
35 5709 1579 0
36 9388 -1 0
37 9884 -1 0
38 2093 2883 0
39 12904 7880 0
40 14049 -1 0
41 19851 -1 0
42 4606 -1 0
43 3397 -1 0
44 3485 5357 0
45 8412 4746 0
46 11163 8937 0
47 11230 -1 0
48 3107 -1 0
49 16951 -1 0
50 7933 -1 0
51 3321 -1 0
52 9679 -1 0
53 13021 -1 0
54 1110 2013 0
55 6640 -1 0
56 7558 5702 0
57 8423 8226 0
58 11047 -1 0
59 4590 -1 0
60 593 6468 0
61 8303 -1 0
62 8180 -1 0
63 3740 -1 0
64 2924 -1 0
65 3057 -1 0
66 597 -1 0
67 8190 -1 0
68 2010 -1 0
69 16691 1668 0
70 6638 -1 0
71 18871 -1 0
72 10011 9179 0
73 18339 -1 0
74 15938 2753 0
75 2772 3644 0
76 6113 4797 0
77 3360 -1 0.001434
78 19171 -1 0
79 8903 -1 0
80 10207 9739 0
81 11963 2748 0
82 5197 3668 0
83 3699 -1 0
84 5443 4684 0
85 12671 -1 0
86 9684 -1 0
87 7752 2174 0
88 5317 1197 0
89 12143 4985 0
90 3738 -1 0
91 14255 -1 0
92 7552 -1 0
93 14031 6432 0
94 16358 4886 0
95 17832 -1 0
96 8290 365 0
97 11783 -1 0
98 18418 -1 0
99 7345 -1 0
~~ For list with 15000 elements ~~
0 28531 -1 0
1 1977 9074 0
2 23270 7119 0
3 1723 -1 0
4 26379 2803 0
5 15139 -1 0
6 15987 -1 0
7 22955 -1 0
8 27836 -1 0
9 18634 -1 0
10 27275 3905 0
11 17016 8718 0
12 9811 1438 0
13 3659 2600 0
14 22653 -1 0
15 2137 -1 0
16 9643 6643 0
17 16607 857 0
18 26665 11333 0
19 11406 -1 0
20 454 1892 0
